ngramme	Cliges	Yvain	AlexisP11	ThebesC	AlexisPRI	FillePonth1B1	AlexisP13	BenTroieC_1partial	ChaceP	AlexisOctP	SGeorgDeG	MeraugisF	SGeorgVosL	AigarB	LancJ	PercevalKu	CleomHas	BenTroieC_4partial	ErecF	DancusM	JAvesnesFilleB	JugAmD	OmbreB2	UnicornecW	AlexisPQ

a 	128	121	16	278	42	7	27	164	11	26	17	80	8	5	175	151	43	14	161	4	0	10	29	5	16

aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0

ab	0	0	0	4	0	1	0	2	0	0	2	0	0	6	0	1	1	0	0	0	0	0	0	0	0

ac	2	0	0	5	0	0	0	6	0	0	0	0	1	0	0	1	2	0	1	2	0	0	1	1	0

ad	3	5	4	17	2	0	0	8	0	1	3	1	0	0	1	2	28	3	4	1	0	1	0	1	11

af	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0

ag	0	0	0	7	0	0	0	15	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0

ah	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0

ai	3	117	6	67	13	1	13	46	3	4	5	23	9	9	4	16	225	2	35	1	5	7	11	1	4

aj	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

al	51	9	9	86	6	3	2	19	1	14	2	6	1	2	4	16	26	2	11	1	0	0	1	0	16

am	33	11	2	20	0	0	0	7	0	3	2	4	1	0	22	19	32	0	10	0	0	2	7	0	2

an	55	15	0	17	1	0	4	41	1	1	0	3	0	9	88	154	9	2	159	2	0	2	1	0	0

ap	16	17	0	28	3	4	2	41	1	2	1	17	5	0	19	32	38	0	31	9	2	0	5	1	2

ar	3	5	0	18	0	2	0	20	0	1	0	3	1	0	11	9	35	5	10	4	0	0	0	1	1

as	24	16	0	77	3	2	2	53	4	0	0	27	1	2	25	19	47	3	25	0	0	3	1	0	1

at	11	13	0	20	1	3	3	0	0	4	0	0	0	1	2	30	5	0	8	1	3	1	5	0	1

au	73	53	0	14	6	8	9	17	7	10	5	36	2	2	78	89	182	0	42	3	7	2	10	4	8

av	26	17	4	11	3	4	4	27	2	3	2	19	3	0	31	43	61	4	22	3	0	1	5	0	5

az	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

aï	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0

aÿ	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ba	2	6	1	5	2	1	1	5	0	0	0	2	1	4	4	4	17	0	0	2	0	0	0	0	0

be	8	2	1	9	13	1	0	22	1	8	1	16	1	1	4	17	25	1	12	1	1	0	2	0	1

bi	48	41	1	95	4	4	6	59	9	3	3	17	4	0	48	52	157	5	78	1	1	0	10	1	8

bl	1	0	1	3	1	1	0	4	0	0	0	0	0	1	0	4	8	0	3	3	0	2	0	0	0

bo	6	5	1	7	5	4	3	7	0	3	0	2	0	2	1	5	15	0	2	2	1	0	1	0	5

br	0	0	1	7	0	0	0	3	0	1	0	1	2	0	0	1	16	0	6	0	1	0	0	0	0

bu	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	4	2	0	0	0	0	0

bè	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

bê	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

c 	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	7	0	0	0	0	0	0	0	0

ca	249	109	0	274	26	2	21	19	21	1	6	28	0	4	81	35	875	0	125	2	0	0	0	14	29

cc	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0

ce	99	29	6	90	18	3	0	39	7	20	15	79	1	1	124	115	404	3	94	3	2	6	22	6	5

ch	24	142	3	69	1	3	31	40	3	3	8	30	2	0	33	46	122	4	50	14	3	7	5	0	4

ci	43	8	12	196	11	0	1	79	2	7	0	33	1	3	73	55	139	11	78	2	1	1	9	2	0

ck	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

cl	65	1	1	3	1	0	0	8	0	0	0	0	0	0	2	11	404	0	4	0	0	4	1	0	0

co	90	117	9	128	17	3	11	145	6	18	8	65	8	2	108	133	334	8	78	12	39	3	13	5	17

cr	5	1	0	16	1	3	4	5	0	0	7	2	0	1	6	5	28	4	2	0	0	0	1	0	0

cu	17	21	1	25	0	1	8	26	0	1	1	8	2	3	15	34	39	0	8	5	1	1	2	0	0

cy	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0

cé	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

da	36	37	6	76	5	19	6	46	1	9	5	15	17	4	42	60	75	3	51	7	2	6	8	0	1

de	348	310	27	481	50	19	32	389	22	53	27	194	34	16	314	439	1050	28	401	21	13	23	49	13	27

di	13	19	8	69	24	10	23	26	1	0	4	30	4	3	23	29	161	3	21	5	6	2	10	1	6

do	71	53	11	86	28	9	30	73	14	12	2	38	4	3	63	83	271	9	45	15	1	2	7	3	8

dr	2	2	4	23	9	0	7	18	0	1	2	7	2	2	4	0	50	1	3	0	0	1	0	2	5

du	16	41	0	36	5	2	2	12	5	0	0	6	2	1	11	30	115	1	20	1	3	5	7	1	9

dy	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0

dà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

dè	0	0	0	7	0	0	0	29	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0

dé	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0

dï	4	1	0	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	1	0	0	0	0	0	0

e 	0	1	39	3	14	0	0	573	0	0	0	0	0	109	0	0	1	62	0	0	1	0	2	5	0

ec	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0

ed	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

eg	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ei	67	0	1	9	0	0	0	4	0	6	0	51	0	1	84	76	0	0	30	6	0	0	0	0	0

