Texte A	Texte B	Cosinus	Jaccard
Cliges	Yvain	 0.5491	 0.0596
Cliges	AlexisP11	 0.1309	 0.0123
Cliges	ThebesC	 0.4366	 0.0504
Cliges	AlexisPRI	 0.2996	 0.0265
Cliges	FillePonth1B1	 0.2550	 0.0254
Cliges	AlexisP13	 0.2035	 0.0213
Cliges	BenTroieC_1partial	 0.3167	 0.0465
Cliges	ChaceP	 0.2306	 0.0134
Cliges	AlexisOctP	 0.3920	 0.0291
Cliges	SGeorgDeG	 0.1267	 0.0108
Cliges	MeraugisF	 0.5351	 0.0663
Cliges	SGeorgVosL	 0.1729	 0.0126
Cliges	AigarB	 0.0499	 0.0039
Cliges	LancJ	 0.7119	 0.1066
Cliges	PercevalKu	 0.6847	 0.1010
Cliges	CleomHas	 0.5034	 0.0449
Cliges	BenTroieC_4partial	 0.1567	 0.0149
Cliges	ErecF	 0.6814	 0.0970
Cliges	DancusM	 0.3035	 0.0151
Cliges	JAvesnesFilleB	 0.2176	 0.0169
Cliges	JugAmD	 0.2329	 0.0165
Cliges	OmbreB2	 0.3250	 0.0327
Cliges	UnicornecW	 0.2084	 0.0100
Cliges	AlexisPQ	 0.2180	 0.0184
Yvain	AlexisP11	 0.1282	 0.0113
Yvain	ThebesC	 0.3985	 0.0431
Yvain	AlexisPRI	 0.3179	 0.0347
Yvain	FillePonth1B1	 0.3819	 0.0372
Yvain	AlexisP13	 0.2202	 0.0243
Yvain	BenTroieC_1partial	 0.2630	 0.0385
Yvain	ChaceP	 0.2632	 0.0151
Yvain	AlexisOctP	 0.3365	 0.0237
Yvain	SGeorgDeG	 0.1760	 0.0174
Yvain	MeraugisF	 0.4390	 0.0554
Yvain	SGeorgVosL	 0.1719	 0.0129
Yvain	AigarB	 0.0408	 0.0036
Yvain	LancJ	 0.5288	 0.0635
Yvain	PercevalKu	 0.5414	 0.0613
Yvain	CleomHas	 0.5361	 0.0626
Yvain	BenTroieC_4partial	 0.1155	 0.0140
Yvain	ErecF	 0.4962	 0.0567
Yvain	DancusM	 0.3456	 0.0164
Yvain	JAvesnesFilleB	 0.2487	 0.0239
Yvain	JugAmD	 0.2108	 0.0166
Yvain	OmbreB2	 0.3526	 0.0340
Yvain	UnicornecW	 0.2285	 0.0129
Yvain	AlexisPQ	 0.2599	 0.0281
AlexisP11	ThebesC	 0.1636	 0.0153
AlexisP11	AlexisPRI	 0.2296	 0.0596
AlexisP11	FillePonth1B1	 0.0811	 0.0141
AlexisP11	AlexisP13	 0.1063	 0.0268
AlexisP11	BenTroieC_1partial	 0.2116	 0.0184
AlexisP11	ChaceP	 0.0394	 0.0112
AlexisP11	AlexisOctP	 0.1131	 0.0252
AlexisP11	SGeorgDeG	 0.0568	 0.0129
AlexisP11	MeraugisF	 0.1200	 0.0187
AlexisP11	SGeorgVosL	 0.0662	 0.0174
AlexisP11	AigarB	 0.0554	 0.0072
AlexisP11	LancJ	 0.1256	 0.0133
AlexisP11	PercevalKu	 0.1152	 0.0114
AlexisP11	CleomHas	 0.0907	 0.0072
AlexisP11	BenTroieC_4partial	 0.0932	 0.0209
AlexisP11	ErecF	 0.1159	 0.0116
AlexisP11	DancusM	 0.0712	 0.0127
AlexisP11	JAvesnesFilleB	 0.0747	 0.0088
AlexisP11	JugAmD	 0.0470	 0.0129
AlexisP11	OmbreB2	 0.0690	 0.0171
AlexisP11	UnicornecW	 0.0564	 0.0140
AlexisP11	AlexisPQ	 0.1062	 0.0199
ThebesC	AlexisPRI	 0.2884	 0.0233
ThebesC	FillePonth1B1	 0.2768	 0.0198
ThebesC	AlexisP13	 0.1872	 0.0195
ThebesC	BenTroieC_1partial	 0.5079	 0.0730
ThebesC	ChaceP	 0.1738	 0.0080
ThebesC	AlexisOctP	 0.3111	 0.0224
ThebesC	SGeorgDeG	 0.1331	 0.0088
ThebesC	MeraugisF	 0.3450	 0.0465
ThebesC	SGeorgVosL	 0.1714	 0.0112
ThebesC	AigarB	 0.0671	 0.0047
ThebesC	LancJ	 0.3980	 0.0487
ThebesC	PercevalKu	 0.3971	 0.0496
ThebesC	CleomHas	 0.3468	 0.0387
ThebesC	BenTroieC_4partial	 0.2078	 0.0188
ThebesC	ErecF	 0.3934	 0.0509
ThebesC	DancusM	 0.2610	 0.0115
ThebesC	JAvesnesFilleB	 0.1911	 0.0129
ThebesC	JugAmD	 0.1750	 0.0111
ThebesC	OmbreB2	 0.2005	 0.0192
ThebesC	UnicornecW	 0.1609	 0.0068
ThebesC	AlexisPQ	 0.1955	 0.0146
AlexisPRI	FillePonth1B1	 0.2075	 0.0392
AlexisPRI	AlexisP13	 0.2771	 0.0589
AlexisPRI	BenTroieC_1partial	 0.2112	 0.0240
AlexisPRI	ChaceP	 0.1261	 0.0193
AlexisPRI	AlexisOctP	 0.2331	 0.0303
AlexisPRI	SGeorgDeG	 0.1077	 0.0202
AlexisPRI	MeraugisF	 0.2292	 0.0327
AlexisPRI	SGeorgVosL	 0.1306	 0.0194
AlexisPRI	AigarB	 0.0379	 0.0071
AlexisPRI	LancJ	 0.2828	 0.0273
AlexisPRI	PercevalKu	 0.2907	 0.0257
AlexisPRI	CleomHas	 0.2761	 0.0239
AlexisPRI	BenTroieC_4partial	 0.0866	 0.0183
AlexisPRI	ErecF	 0.2662	 0.0255
AlexisPRI	DancusM	 0.2095	 0.0196
AlexisPRI	JAvesnesFilleB	 0.1481	 0.0198
AlexisPRI	JugAmD	 0.1196	 0.0200
AlexisPRI	OmbreB2	 0.1608	 0.0315
AlexisPRI	UnicornecW	 0.1433	 0.0193
AlexisPRI	AlexisPQ	 0.2704	 0.0385
FillePonth1B1	AlexisP13	 0.2091	 0.0285
FillePonth1B1	BenTroieC_1partial	 0.1487	 0.0194
FillePonth1B1	ChaceP	 0.1385	 0.0163
FillePonth1B1	AlexisOctP	 0.2362	 0.0308
FillePonth1B1	SGeorgDeG	 0.1109	 0.0223
FillePonth1B1	MeraugisF	 0.2214	 0.0318
FillePonth1B1	SGeorgVosL	 0.1171	 0.0160
FillePonth1B1	AigarB	 0.0245	 0.0050
FillePonth1B1	LancJ	 0.2689	 0.0265
FillePonth1B1	PercevalKu	 0.2833	 0.0249
FillePonth1B1	CleomHas	 0.2632	 0.0241
FillePonth1B1	BenTroieC_4partial	 0.0484	 0.0155
FillePonth1B1	ErecF	 0.2783	 0.0251
FillePonth1B1	DancusM	 0.2666	 0.0200
FillePonth1B1	JAvesnesFilleB	 0.2108	 0.0295
FillePonth1B1	JugAmD	 0.1176	 0.0199
FillePonth1B1	OmbreB2	 0.1683	 0.0348
FillePonth1B1	UnicornecW	 0.1478	 0.0166
FillePonth1B1	AlexisPQ	 0.2049	 0.0293
AlexisP13	BenTroieC_1partial	 0.1011	 0.0179
AlexisP13	ChaceP	 0.1137	 0.0140
AlexisP13	AlexisOctP	 0.1576	 0.0242
AlexisP13	SGeorgDeG	 0.0489	 0.0117
AlexisP13	MeraugisF	 0.1247	 0.0258
AlexisP13	SGeorgVosL	 0.0968	 0.0145
AlexisP13	AigarB	 0.0180	 0.0050
AlexisP13	LancJ	 0.1841	 0.0200
AlexisP13	PercevalKu	 0.2015	 0.0193
AlexisP13	CleomHas	 0.1512	 0.0138
AlexisP13	BenTroieC_4partial	 0.0570	 0.0149
AlexisP13	ErecF	 0.1846	 0.0195
AlexisP13	DancusM	 0.1629	 0.0129
AlexisP13	JAvesnesFilleB	 0.0770	 0.0120
AlexisP13	JugAmD	 0.1087	 0.0148
AlexisP13	OmbreB2	 0.0886	 0.0207
AlexisP13	UnicornecW	 0.1441	 0.0150
AlexisP13	AlexisPQ	 0.1301	 0.0275
BenTroieC_1partial	ChaceP	 0.0821	 0.0083
BenTroieC_1partial	AlexisOctP	 0.2036	 0.0228
BenTroieC_1partial	SGeorgDeG	 0.0897	 0.0092
BenTroieC_1partial	MeraugisF	 0.2897	 0.0465
BenTroieC_1partial	SGeorgVosL	 0.1105	 0.0103
BenTroieC_1partial	AigarB	 0.1302	 0.0068
BenTroieC_1partial	LancJ	 0.2679	 0.0441
BenTroieC_1partial	PercevalKu	 0.2584	 0.0435
BenTroieC_1partial	CleomHas	 0.2319	 0.0348
BenTroieC_1partial	BenTroieC_4partial	 0.3276	 0.0323
BenTroieC_1partial	ErecF	 0.2881	 0.0444
BenTroieC_1partial	DancusM	 0.1130	 0.0102
BenTroieC_1partial	JAvesnesFilleB	 0.1244	 0.0133
BenTroieC_1partial	JugAmD	 0.1220	 0.0115
BenTroieC_1partial	OmbreB2	 0.1606	 0.0221
BenTroieC_1partial	UnicornecW	 0.1121	 0.0080
BenTroieC_1partial	AlexisPQ	 0.1383	 0.0151
ChaceP	AlexisOctP	 0.1445	 0.0225
ChaceP	SGeorgDeG	 0.0997	 0.0183
ChaceP	MeraugisF	 0.1863	 0.0192
ChaceP	SGeorgVosL	 0.0834	 0.0179
ChaceP	AigarB	 0.0165	 0.0045
ChaceP	LancJ	 0.2478	 0.0146
ChaceP	PercevalKu	 0.2610	 0.0124
ChaceP	CleomHas	 0.2857	 0.0099
ChaceP	BenTroieC_4partial	 0.0406	 0.0116
ChaceP	ErecF	 0.1903	 0.0120
ChaceP	DancusM	 0.2501	 0.0297
ChaceP	JAvesnesFilleB	 0.0991	 0.0156
ChaceP	JugAmD	 0.0912	 0.0231
ChaceP	OmbreB2	 0.1259	 0.0263
ChaceP	UnicornecW	 0.1240	 0.0183
ChaceP	AlexisPQ	 0.0959	 0.0194
AlexisOctP	SGeorgDeG	 0.1075	 0.0194
AlexisOctP	MeraugisF	 0.3203	 0.0384
AlexisOctP	SGeorgVosL	 0.1520	 0.0283
AlexisOctP	AigarB	 0.0375	 0.0066
AlexisOctP	LancJ	 0.3779	 0.0285
AlexisOctP	PercevalKu	 0.3745	 0.0255
AlexisOctP	CleomHas	 0.3052	 0.0147
AlexisOctP	BenTroieC_4partial	 0.0898	 0.0218
AlexisOctP	ErecF	 0.3699	 0.0267
AlexisOctP	DancusM	 0.2224	 0.0228
AlexisOctP	JAvesnesFilleB	 0.2043	 0.0207
AlexisOctP	JugAmD	 0.1519	 0.0250
AlexisOctP	OmbreB2	 0.2392	 0.0413
AlexisOctP	UnicornecW	 0.1466	 0.0199
AlexisOctP	AlexisPQ	 0.1916	 0.0335
SGeorgDeG	MeraugisF	 0.1198	 0.0166
SGeorgDeG	SGeorgVosL	 0.0770	 0.0239
SGeorgDeG	AigarB	 0.0190	 0.0042
SGeorgDeG	LancJ	 0.1265	 0.0111
SGeorgDeG	PercevalKu	 0.1303	 0.0095
SGeorgDeG	CleomHas	 0.1648	 0.0101
SGeorgDeG	BenTroieC_4partial	 0.0321	 0.0116
SGeorgDeG	ErecF	 0.1145	 0.0102
SGeorgDeG	DancusM	 0.1004	 0.0175
SGeorgDeG	JAvesnesFilleB	 0.1259	 0.0277
SGeorgDeG	JugAmD	 0.0668	 0.0220
SGeorgDeG	OmbreB2	 0.0922	 0.0214
SGeorgDeG	UnicornecW	 0.0725	 0.0185
SGeorgDeG	AlexisPQ	 0.1310	 0.0313
MeraugisF	SGeorgVosL	 0.1350	 0.0176
MeraugisF	AigarB	 0.0481	 0.0057
MeraugisF	LancJ	 0.5573	 0.0704
MeraugisF	PercevalKu	 0.5117	 0.0671
MeraugisF	CleomHas	 0.3890	 0.0387
MeraugisF	BenTroieC_4partial	 0.1447	 0.0232
MeraugisF	ErecF	 0.4976	 0.0666
MeraugisF	DancusM	 0.2300	 0.0225
MeraugisF	JAvesnesFilleB	 0.1892	 0.0216
MeraugisF	JugAmD	 0.1679	 0.0225
MeraugisF	OmbreB2	 0.3244	 0.0469
MeraugisF	UnicornecW	 0.1552	 0.0138
MeraugisF	AlexisPQ	 0.1934	 0.0271
SGeorgVosL	AigarB	 0.0210	 0.0054
SGeorgVosL	LancJ	 0.1600	 0.0134
SGeorgVosL	PercevalKu	 0.1642	 0.0113
SGeorgVosL	CleomHas	 0.1662	 0.0077
SGeorgVosL	BenTroieC_4partial	 0.0522	 0.0132
SGeorgVosL	ErecF	 0.1637	 0.0124
SGeorgVosL	DancusM	 0.0985	 0.0202
SGeorgVosL	JAvesnesFilleB	 0.0918	 0.0136
SGeorgVosL	JugAmD	 0.0752	 0.0200
SGeorgVosL	OmbreB2	 0.0893	 0.0195
SGeorgVosL	UnicornecW	 0.0591	 0.0142
SGeorgVosL	AlexisPQ	 0.1332	 0.0228
AigarB	LancJ	 0.0368	 0.0037
AigarB	PercevalKu	 0.0380	 0.0037
AigarB	CleomHas	 0.0328	 0.0020
AigarB	BenTroieC_4partial	 0.0589	 0.0082
AigarB	ErecF	 0.0447	 0.0037
AigarB	DancusM	 0.0285	 0.0055
AigarB	JAvesnesFilleB	 0.0409	 0.0038
AigarB	JugAmD	 0.0183	 0.0062
AigarB	OmbreB2	 0.0270	 0.0048
AigarB	UnicornecW	 0.0190	 0.0051
AigarB	AlexisPQ	 0.0280	 0.0048
LancJ	PercevalKu	 0.7465	 0.1145
LancJ	CleomHas	 0.5051	 0.0469
LancJ	BenTroieC_4partial	 0.1382	 0.0144
LancJ	ErecF	 0.6902	 0.1023
LancJ	DancusM	 0.3296	 0.0170
LancJ	JAvesnesFilleB	 0.1887	 0.0177
LancJ	JugAmD	 0.2247	 0.0171
LancJ	OmbreB2	 0.3150	 0.0325
LancJ	UnicornecW	 0.2025	 0.0096
LancJ	AlexisPQ	 0.2086	 0.0193
PercevalKu	CleomHas	 0.4863	 0.0475
PercevalKu	BenTroieC_4partial	 0.1208	 0.0124
PercevalKu	ErecF	 0.6585	 0.1012
PercevalKu	DancusM	 0.3578	 0.0155
PercevalKu	JAvesnesFilleB	 0.1775	 0.0156
PercevalKu	JugAmD	 0.2089	 0.0139
PercevalKu	OmbreB2	 0.2983	 0.0294
PercevalKu	UnicornecW	 0.2077	 0.0081
PercevalKu	AlexisPQ	 0.2253	 0.0183
CleomHas	BenTroieC_4partial	 0.1102	 0.0085
CleomHas	ErecF	 0.4492	 0.0448
