ngramme	BenTroieC_1partial	SGeorgDeG	AlexisPQ	BenTroieC_4partial	Yvain	MeraugisF	ChaceP	DancusM	AlexisOctP	PercevalKu	AlexisP13	Cliges	JugAmD	AlexisP11	JAvesnesFilleB	FillePonth1B1	SGeorgVosL	ThebesC	AigarB	UnicornecW	LancJ	ErecF	CleomHas	AlexisPRI	OmbreB2

a 	158	16	16	12	119	80	11	4	26	151	26	127	10	16	0	7	8	269	5	5	173	161	41	42	26

aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0

ab	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	5	0	0	0	1	0	0

ac	6	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	1	5	0	1	0	1	2	0	1

ad	8	3	11	3	5	0	0	1	1	2	0	3	1	4	0	0	0	17	0	1	1	4	28	2	0

af	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

ag	15	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0

ah	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2

ai	45	5	4	2	110	23	3	1	4	16	13	3	7	5	2	1	8	63	8	1	4	35	217	12	10

aj	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0

al	19	2	15	2	8	6	1	1	13	16	2	50	0	9	0	3	1	84	2	0	4	11	26	4	1

am	7	2	2	0	10	4	0	0	3	18	0	32	2	2	0	0	1	20	0	0	21	10	30	0	7

an	41	0	0	2	15	3	1	2	1	154	4	55	2	0	0	0	0	17	9	0	88	159	9	1	0

ap	40	1	2	0	16	15	1	9	2	32	2	16	0	0	1	2	5	28	0	1	19	31	35	3	5

ar	19	0	1	5	5	3	0	4	1	9	0	3	0	0	0	2	1	17	0	1	11	10	35	0	0

as	53	0	1	3	16	27	4	0	0	19	2	23	3	0	0	2	1	73	2	0	25	25	47	3	1

at	0	0	1	0	13	0	0	1	4	30	2	11	1	0	3	3	0	20	1	0	2	8	5	0	5

au	17	5	7	0	52	32	7	3	10	89	9	72	2	0	6	7	2	14	2	4	78	42	180	6	9

av	26	2	5	4	17	19	2	3	3	43	4	26	1	4	0	4	3	11	0	0	31	22	61	3	5

az	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

aï	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0

aÿ	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ba	5	0	0	0	5	2	0	2	0	4	1	2	0	1	0	1	1	5	4	0	4	0	17	2	0

be	21	1	1	1	2	14	1	1	8	17	0	8	0	1	0	1	1	9	1	0	4	12	23	13	2

bi	57	3	8	5	40	17	8	1	3	52	6	48	0	1	1	4	4	86	0	1	47	78	151	4	9

bl	4	0	0	0	0	0	0	3	0	4	0	1	2	1	0	1	0	3	1	0	0	3	8	1	0

bo	7	0	5	0	4	2	0	2	3	5	3	6	0	1	1	3	0	7	2	0	1	2	15	4	1

br	3	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	7	0	0	0	6	16	0	0

bu	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0

bè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0

bê	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0

c 	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0

ca	19	6	28	0	106	28	20	2	1	35	21	248	0	0	0	2	0	261	4	13	81	125	854	24	0

cc	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

ce	39	14	5	3	27	76	6	3	18	115	0	99	6	6	0	2	1	85	1	6	124	94	397	18	21

ch	39	8	4	4	136	28	3	14	3	46	29	24	7	3	1	2	2	65	0	0	33	50	121	1	5

ci	76	0	0	10	8	32	1	2	7	55	1	43	0	11	1	0	1	181	3	2	72	78	136	11	9

ck	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0

cl	8	0	0	0	1	0	0	0	0	11	0	65	4	1	0	0	0	3	0	0	2	4	396	1	1

co	141	8	17	7	117	61	6	12	18	133	11	89	3	9	32	3	8	123	2	5	107	78	328	17	12

cr	5	7	0	4	1	2	0	0	0	5	4	5	0	0	0	3	0	15	1	0	6	2	28	1	1

cu	24	1	0	0	19	8	0	5	1	34	8	17	1	1	1	1	2	25	3	0	15	8	38	0	2

cy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0

cé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0

da	46	5	1	3	37	14	1	6	9	60	6	36	6	6	2	18	16	75	4	0	41	51	72	5	8

de	382	27	25	26	303	187	21	21	53	436	30	346	23	27	9	16	33	465	16	13	313	401	1021	50	47

di	26	4	4	3	19	30	1	5	0	29	23	13	2	8	5	9	4	68	3	1	23	21	158	23	10

do	73	2	7	9	52	38	14	15	11	82	29	70	2	11	1	9	4	86	3	3	62	45	267	26	7

dr	18	2	5	1	2	7	0	0	1	0	7	2	1	4	0	0	2	19	2	2	4	3	48	9	0

du	12	0	7	1	40	6	4	1	0	30	2	16	4	0	2	2	2	32	1	1	11	20	112	5	7

dy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0

dà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0

dè	29	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	8	0	0

dé	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0

dï	0	0	0	0	1	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	4	1	0	0	0

e 	547	0	0	61	1	0	0	0	0	0	0	0	0	38	0	0	0	2	105	5	0	0	1	14	2

ec	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0

ed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0

