	freq-JugAmD	freq-LancJ	freq-AigarB	freq-ChaceP	freq-DancusM	freq-OmbreB2	freq-UnicornecW	freq-PercevalKu	freq-AlexisP13	freq-ErecF	freq-BenTroieC_4partial	freq-MeraugisF	freq-JAvesnesFilleB	freq-Yvain	freq-ThebesC	freq-AlexisPRI	freq-AlexisPQ	freq-CleomHas	freq-SGeorgDeG	freq-AlexisOctP	freq-BenTroieC_1partial	freq-FillePonth1B1	freq-AlexisP11	freq-SGeorgVosL	freq-Cliges
freq-JugAmD	0.9999999999999997	0.7823813693401158	0.6565295926158571	0.763424843176711	0.6475415572511154	0.8174344136426317	0.7252250542880075	0.7774866072843352	0.7672153581462235	0.7863459803151943	0.7905753606540225	0.8172430570099117	0.6419297855323411	0.8181343583626732	0.7962109981309848	0.7462804722161309	0.722577537606604	0.8082027003441403	0.6910358456567407	0.7544103898877371	0.7880173463730897	0.6711206335299451	0.7152835428016231	0.700013373492848	0.8065492141580285
freq-LancJ	0.7823813693401158	0.9999999999999999	0.6747589543828224	0.7871270424263048	0.7122989628294795	0.848161371688594	0.7308465018181504	0.9646368893048157	0.7841343379560404	0.9487370308162096	0.810640923866305	0.8813507220156283	0.6593560566390068	0.8573043547265788	0.8296996767596215	0.7672229197496863	0.7416183867101092	0.8064981226712099	0.7449413062776801	0.8053817302645708	0.8289561931494716	0.6667870264968541	0.7523925706195337	0.7385927322908412	0.9564360377920497
freq-AigarB	0.6565295926158571	0.6747589543828224	1.0000000000000002	0.6443048274168122	0.6162309631531444	0.6276997862489605	0.6695348791556522	0.6661537607460348	0.7120996507466079	0.6823670189283657	0.7292838197596303	0.679620757783686	0.6416110723683619	0.6700498290344477	0.7464602352231782	0.7196407887272342	0.6251996755358133	0.654792898844698	0.5999045170377909	0.6678677642202608	0.7335529309068789	0.6789588832505601	0.6968236129930839	0.6697561442260526	0.7039179562320622
freq-ChaceP	0.763424843176711	0.7871270424263048	0.6443048274168122	0.9999999999999986	0.7060381820597479	0.792872269877021	0.734295132594204	0.7886682889217551	0.7735802547983028	0.7930024255382084	0.7342738102652518	0.8008411660786767	0.6365374860183842	0.8125258787290448	0.754639832104717	0.734166427359152	0.7236488659701987	0.7841303435525632	0.698231041479339	0.7331184243551507	0.7474957641603891	0.6748892975971864	0.6823224348197967	0.6959976330564928	0.7833621356884541
freq-DancusM	0.6475415572511154	0.7122989628294795	0.6162309631531444	0.7060381820597479	0.9999999999999989	0.6761252119712629	0.6495215520212345	0.7307347628163084	0.6955465608712627	0.7198947959458248	0.6554376489862728	0.6886361169999905	0.6128391858690727	0.7145628393388432	0.6790033611053801	0.6842666623137585	0.6523607262859293	0.6576569534778638	0.6039807963396504	0.6505870343955216	0.6672498572054371	0.6568836380107529	0.638808637707378	0.6230647625884008	0.7076622647338355
freq-OmbreB2	0.8174344136426317	0.848161371688594	0.6276997862489605	0.792872269877021	0.6761252119712629	0.9999999999999992	0.7500616153901505	0.8521753478228581	0.7453069823447336	0.8453886661496841	0.7652675925964416	0.8526140250677433	0.638284439112588	0.8491574527394232	0.783996650040633	0.7593390340373319	0.7650370877487388	0.8328128090965911	0.7265750988891821	0.8060024445343641	0.8023812155208598	0.6733278868600424	0.7188028924568253	0.7282442510912075	0.8481383959600719
freq-UnicornecW	0.7252250542880075	0.7308465018181504	0.6695348791556522	0.734295132594204	0.6495215520212345	0.7500616153901505	1.0000000000000004	0.723375445833914	0.753085978087801	0.7305003692454606	0.7279544242054643	0.7465426772786292	0.6352892598612548	0.787029910119603	0.7272785503465843	0.791080035524138	0.7105632178487268	0.7593056642222135	0.6810944531910177	0.7030762203827133	0.7244467554768549	0.6993587763922302	0.6847607518133978	0.6820896357230468	0.7398507584463865
freq-PercevalKu	0.7774866072843352	0.9646368893048157	0.6661537607460348	0.7886682889217551	0.7307347628163084	0.8521753478228581	0.723375445833914	1.0	0.7791068433178692	0.940938676313804	0.7943316924791063	0.8697063487051235	0.6533155635780947	0.8525069630028642	0.809912373266018	0.7696067621153493	0.7507130035218926	0.7990532175606314	0.7595163790599846	0.8027942652477889	0.8120930893530167	0.6660995717334585	0.7373241978680426	0.73831262172998	0.938917261541221
freq-AlexisP13	0.7672153581462235	0.7841343379560404	0.7120996507466079	0.7735802547983028	0.6955465608712627	0.7453069823447336	0.753085978087801	0.7791068433178692	0.9999999999999996	0.7959898406250462	0.7950781406820382	0.7935447180377186	0.6887084886033479	0.8268782695404547	0.8070914975707898	0.8613279277097294	0.7856188009534786	0.766185505692205	0.6880820037473315	0.762288283324065	0.790130820865637	0.7821056673815413	0.7904942333985921	0.7338404907712022	0.8037572860089959
freq-ErecF	0.7863459803151943	0.9487370308162096	0.6823670189283657	0.7930024255382084	0.7198947959458248	0.8453886661496841	0.7305003692454606	0.940938676313804	0.7959898406250462	1.0000000000000004	0.810528881377152	0.8617811799643101	0.6592539966166245	0.8388744456228343	0.8163316589187463	0.7671268332212844	0.7441203806253202	0.7946963848209275	0.7384942564776702	0.7902532948138425	0.8235378618624432	0.6796349870394176	0.7322467154845193	0.7322630565260408	0.941158733709723
freq-BenTroieC_4partial	0.7905753606540225	0.810640923866305	0.7292838197596303	0.7342738102652518	0.6554376489862728	0.7652675925964416	0.7279544242054643	0.7943316924791063	0.7950781406820382	0.810528881377152	1.0000000000000013	0.8479221630800244	0.6918744454134632	0.8021583023935435	0.9182054803866238	0.7825877279800827	0.7196364472413724	0.783195242972348	0.7129733129131978	0.8333343330134346	0.9393062994489945	0.7049906580346623	0.8178855270898783	0.7561864016739391	0.8243104523738355
freq-MeraugisF	0.8172430570099117	0.8813507220156283	0.679620757783686	0.8008411660786767	0.6886361169999905	0.8526140250677433	0.7465426772786292	0.8697063487051235	0.7935447180377186	0.8617811799643101	0.8479221630800244	0.9999999999999996	0.6809985327301037	0.8780369414772417	0.8592652797516585	0.7877002969822516	0.7652631391112042	0.8415196899702124	0.7487827716892455	0.8207454877410446	0.857652091142682	0.6994243764567127	0.7773164415493519	0.7566424699327998	0.8720485421863194
freq-JAvesnesFilleB	0.6419297855323411	0.6593560566390068	0.6416110723683619	0.6365374860183842	0.6128391858690727	0.638284439112588	0.6352892598612548	0.6533155635780947	0.6887084886033479	0.6592539966166245	0.6918744454134632	0.6809985327301037	1.0000000000000007	0.7020144426382502	0.713061925826302	0.7252823743884574	0.7910070605832755	0.6909696952658019	0.6774907036568169	0.6605177777614972	0.700881166485303	0.7991449828604595	0.6915500041644824	0.6142108181331046	0.6936624785503094
freq-Yvain	0.8181343583626732	0.8573043547265788	0.6700498290344477	0.8125258787290448	0.7145628393388432	0.8491574527394232	0.787029910119603	0.8525069630028642	0.8268782695404547	0.8388744456228343	0.8021583023935435	0.8780369414772417	0.7020144426382502	0.9999999999999999	0.8239783005098016	0.819698661900085	0.7912710898331384	0.8889801890862604	0.7740887339494003	0.7909818328464884	0.8243572211507395	0.7589267110412303	0.7377759729521386	0.7506296750429887	0.8518171194134
freq-ThebesC	0.7962109981309848	0.8296996767596215	0.7464602352231782	0.754639832104717	0.6790033611053801	0.783996650040633	0.7272785503465843	0.809912373266018	0.8070914975707898	0.8163316589187463	0.9182054803866238	0.8592652797516585	0.713061925826302	0.8239783005098016	1.0	0.795483585627418	0.7578173783182377	0.7916235450873179	0.7165155618129028	0.8778507531479316	0.9561190620380856	0.7156512628897538	0.8324827540941416	0.7803863775199233	0.8409053658372856
freq-AlexisPRI	0.7462804722161309	0.7672229197496863	0.7196407887272342	0.734166427359152	0.6842666623137585	0.7593390340373319	0.791080035524138	0.7696067621153493	0.8613279277097294	0.7671268332212844	0.7825877279800827	0.7877002969822516	0.7252823743884574	0.819698661900085	0.795483585627418	1.0000000000000007	0.8189799892214447	0.7926245320082247	0.7259761002212703	0.7826471096382814	0.7810953250010831	0.8100030822636822	0.7899532842785187	0.7472266686320993	0.7842235677087276
freq-AlexisPQ	0.722577537606604	0.7416183867101092	0.6251996755358133	0.7236488659701987	0.6523607262859293	0.7650370877487388	0.7105632178487268	0.7507130035218926	0.7856188009534786	0.7441203806253202	0.7196364472413724	0.7652631391112042	0.7910070605832755	0.7912710898331384	0.7578173783182377	0.8189799892214447	1.0	0.7815792419994905	0.7107926376472912	0.7692265771992678	0.7332059246912904	0.7314159256343501	0.7395913236345887	0.6723656278530155	0.7433888083363038
freq-CleomHas	0.8082027003441403	0.8064981226712099	0.654792898844698	0.7841303435525632	0.6576569534778638	0.8328128090965911	0.7593056642222135	0.7990532175606314	0.766185505692205	0.7946963848209275	0.783195242972348	0.8415196899702124	0.6909696952658019	0.8889801890862604	0.7916235450873179	0.7926245320082247	0.7815792419994905	0.9999999999999999	0.7696062074034938	0.7714844869671861	0.8000235086814307	0.7195167301747591	0.704422447319123	0.7195366852782509	0.8124156323854145
freq-SGeorgDeG	0.6910358456567407	0.7449413062776801	0.5999045170377909	0.698231041479339	0.6039807963396504	0.7265750988891821	0.6810944531910177	0.7595163790599846	0.6880820037473315	0.7384942564776702	0.7129733129131978	0.7487827716892455	0.6774907036568169	0.7740887339494003	0.7165155618129028	0.7259761002212703	0.7107926376472912	0.7696062074034938	0.9999999999999991	0.7008832771936272	0.7269259677956876	0.6436556760231608	0.6538766499649767	0.7152756033184091	0.7704057164884429
freq-AlexisOctP	0.7544103898877371	0.8053817302645708	0.6678677642202608	0.7331184243551507	0.6505870343955216	0.8060024445343641	0.7030762203827133	0.8027942652477889	0.762288283324065	0.7902532948138425	0.8333343330134346	0.8207454877410446	0.6605177777614972	0.7909818328464884	0.8778507531479316	0.7826471096382814	0.7692265771992678	0.7714844869671861	0.7008832771936272	1.0000000000000002	0.8761484724142516	0.6634429697306625	0.8171644412846124	0.771385908500502	0.8089206370528437
freq-BenTroieC_1partial	0.7880173463730897	0.8289561931494716	0.7335529309068789	0.7474957641603891	0.6672498572054371	0.8023812155208598	0.7244467554768549	0.8120930893530167	0.790130820865637	0.8235378618624432	0.9393062994489945	0.857652091142682	0.700881166485303	0.8243572211507395	0.9561190620380856	0.7810953250010831	0.7332059246912904	0.8000235086814307	0.7269259677956876	0.8761484724142516	1.0000000000000002	0.7211006202053694	0.839891815247321	0.7829960431598115	0.842128830469046
freq-FillePonth1B1	0.6711206335299451	0.6667870264968541	0.6789588832505601	0.6748892975971864	0.6568836380107529	0.6733278868600424	0.6993587763922302	0.6660995717334585	0.7821056673815413	0.6796349870394176	0.7049906580346623	0.6994243764567127	0.7991449828604595	0.7589267110412303	0.7156512628897538	0.8100030822636822	0.7314159256343501	0.7195167301747591	0.6436556760231608	0.6634429697306625	0.7211006202053694	0.9999999999999994	0.7101494325678399	0.6619111788318167	0.7035295892150351
